alpha,lambda,intercept,x1,x2,x3,mse
0.2,0.01584893,7.261542,1.009872,-0.01251407,-0.4337798,369.2844
0.2,0.01258925,12.83642,1.178798,-0.1568545,-0.522978,368.7751
0.2,0.01,19.04291,1.366779,-0.3175646,-0.622175,368.2089
0.2,0.007943282,25.80637,1.571569,-0.4927093,-0.7301955,367.5928
0.2,0.006309573,33.01581,1.78982,-0.6794122,-0.8452815,366.9371
0.2,0.005011872,40.5035,2.016461,-0.8733274,-0.9647681,366.2571
0.2,0.003981072,48.07883,2.245734,-1.069517,-1.085624,365.5704
0.2,0.003162278,55.54948,2.471822,-1.262999,-1.20479,364.8942
0.2,0.002511886,62.73009,2.689123,-1.448971,-1.319315,364.2454
0.2,0.001995262,69.44418,2.892298,-1.622862,-1.42639,363.6396
0.2,0.001584893,75.59153,3.078318,-1.782076,-1.524421,363.0857
0.2,0.001258925,81.09375,3.244813,-1.924583,-1.612159,362.5906
0.2,0.001,85.93241,3.391226,-2.049903,-1.689314,362.1557
0.3,100,20.195,0,0,0,367.7775
0.3,79.43282,20.195,0,0,0,367.7775
0.3,63.09573,20.195,0,0,0,367.7775
0.3,50.11872,20.195,0,0,0,367.7775
0.3,39.81072,20.195,0,0,0,367.7775
0.3,31.62278,20.195,0,0,0,367.7775
0.3,25.11886,20.195,0,0,0,367.7775
0.3,19.95262,20.195,0,0,0,367.7775
0.3,15.84893,20.195,0,0,0,367.7775
0.3,12.58925,17.88245,0.01843166,0.03607853,0,368.0116
0.3,10,14.05375,0.06677915,0.08699243,0,368.4103
0.3,7.943282,10.34419,0.1128177,0.13672,0,368.7965
0.3,6.309573,6.834178,0.1553351,0.184289,0,369.1616
0.3,5.011872,3.584024,0.1933472,0.2290077,0,369.4992
0.3,3.981072,0.630962,0.2262509,0.2704467,0,369.8051
0.3,3.162278,-2.010427,0.2536328,0.3085255,0,370.0776
0.3,2.511886,-4.343778,0.2755181,0.3433026,0,370.3171
0.3,1.995262,-6.388227,0.291931,0.37514,0,370.5254
0.3,1.584893,-8.170197,0.3032685,0.4043578,0,370.7052
0.3,1.258925,-9.718911,0.3101017,0.4312446,0,370.8597
0.3,1,-11.06775,0.3127757,0.4562822,0,370.9923
0.3,0.7943282,-12.24345,0.3120313,0.4796267,0,371.106
0.3,0.6309573,-13.14235,0.310755,0.4998032,-0.003665427,371.1895
0.3,0.5011872,-13.20706,0.3255358,0.504288,-0.0231732,371.1888
0.3,0.3981072,-13.15656,0.340435,0.5054236,-0.04075586,371.1785
0.3,0.3162278,-12.9568,0.357226,0.5023049,-0.0575941,371.1554
0.3,0.2511886,-12.61599,0.3761188,0.4951978,-0.07407581,371.1203
0.3,0.1995262,-12.11224,0.3982142,0.4835708,-0.09101683,371.0709
0.3,0.1584893,-11.4246,0.4244858,0.4669242,-0.1091427,371.0052
0.3,0.1258925,-10.52698,0.4559964,0.4446237,-0.1291965,370.9208
0.3,0.1,-9.376866,0.4942615,0.4156026,-0.1521292,370.8136
0.3,0.07943282,-7.931726,0.5407449,0.3787917,-0.1788412,370.6798
0.3,0.06309573,-6.133887,0.5973379,0.3327232,-0.2104343,370.5139
0.3,0.05011872,-3.937796,0.6655268,0.2762424,-0.2477799,370.3118
0.3,0.03981072,-1.278099,0.7473836,0.2076743,-0.2920397,370.0676
0.3,0.03162278,1.915227,0.8451027,0.1252199,-0.3444263,369.7748
0.3,0.02511886,5.678278,0.9598293,0.02795867,-0.4055903,369.4302
0.3,0.01995262,6.761903,0.994287,0,-0.4245957,369.3307
0.3,0.01584893,6.768934,0.995588,-2.194448e-05,-0.4260016,369.3297
0.3,0.01258925,11.36867,1.134678,-0.1189804,-0.4995822,368.9093
0.3,0.01,18.26669,1.343523,-0.2975728,-0.6098024,368.2798
0.3,0.007943282,25.68138,1.567969,-0.4895615,-0.7282034,367.6043
0.3,0.006309573,33.4736,1.803814,-0.6913405,-0.8525788,366.8956
0.3,0.005011872,41.43918,2.044885,-0.8976188,-0.9796829,366.1723
0.3,0.003981072,49.38609,2.285376,-1.103421,-1.106462,365.4521
0.3,0.003162278,57.08666,2.518402,-1.302849,-1.229293,364.7553
0.3,0.002511886,64.38852,2.739356,-1.491954,-1.345751,364.0957
0.3,0.001995262,71.12551,2.943212,-1.666433,-1.453191,363.4881
0.3,0.001584893,77.21294,3.127409,-1.82409,-1.550266,362.9398
0.3,0.001258925,82.60054,3.290429,-1.963624,-1.636177,362.4552
0.3,0.001,87.29211,3.432387,-2.085132,-1.710987,362.0336
0.4,100,20.195,0,0,0,367.7775
0.4,79.43282,20.195,0,0,0,367.7775
0.4,63.09573,20.195,0,0,0,367.7775
0.4,50.11872,20.195,0,0,0,367.7775
0.4,39.81072,20.195,0,0,0,367.7775
0.4,31.62278,20.195,0,0,0,367.7775
0.4,25.11886,20.195,0,0,0,367.7775
0.4,19.95262,20.195,0,0,0,367.7775
0.4,15.84893,20.195,0,0,0,367.7775
0.4,12.58925,20.195,0,0,0,367.7775
0.4,10,18.48955,0.004696221,0.03100667,0,367.9447
0.4,7.943282,13.95313,0.06130461,0.0916662,0,368.4167
0.4,6.309573,9.729671,0.1127439,0.1487658,0,368.8559
0.4,5.011872,5.877047,0.1581315,0.201611,0,369.2559
0.4,3.981072,2.423744,0.1968707,0.2499403,0,369.6136
0.4,3.162278,-0.6270997,0.2288806,0.2937322,0,369.9285
0.4,2.511886,-3.293794,0.2541667,0.3333419,0,370.2023
0.4,1.995262,-5.606962,0.2731557,0.3691568,0,370.4382
0.4,1.584893,-7.603333,0.2864893,0.4015775,0,370.64
0.4,1.258925,-9.325538,0.2946044,0.4312209,0,370.8121
0.4,1,-10.81046,0.2983424,0.4583917,0,370.9585
0.4,0.7943282,-12.08956,0.2986314,0.4832459,0,371.0829
0.4,0.6309573,-13.19636,0.295953,0.5062004,0,371.1888
0.4,0.5011872,-14.14905,0.2913971,0.5270715,0,371.2785
0.4,0.3981072,-14.88173,0.2867005,0.5451476,-0.002658744,371.3446
0.4,0.3162278,-14.61585,0.3058193,0.5413273,-0.02272363,371.3139
0.4,0.2511886,-14.18336,0.3277536,0.5326485,-0.04239935,371.2691
0.4,0.1995262,-13.56547,0.3535091,0.5187062,-0.06253694,371.2082
0.4,0.1584893,-12.73935,0.3841287,0.4989847,-0.08396375,371.129
0.4,0.1258925,-11.66537,0.4211048,0.4725222,-0.1076991,371.0277
0.4,0.1,-10.31327,0.4655743,0.4385953,-0.1345405,370.9015
0.4,0.07943282,-8.620074,0.5196387,0.3956177,-0.1657546,370.7444
0.4,0.06309573,-6.539921,0.5848274,0.3424444,-0.2022815,370.5523
0.4,0.05011872,-3.997216,0.6635522,0.2771486,-0.2454985,370.3182
0.4,0.03981072,-0.9492375,0.7571925,0.198654,-0.2962217,370.0382
0.4,0.03162278,2.687578,0.8683597,0.1048158,-0.3558958,369.7047
0.4,0.02511886,6.74248,0.9924443,0,-0.4222044,369.3335
0.4,0.01995262,6.752462,0.9941186,0,-0.4240997,369.332
0.4,0.01584893,6.760473,0.9954442,0,-0.4256042,369.3307
0.4,0.01258925,9.580678,1.08087,-0.07281223,-0.4710821,369.0727
0.4,0.01,17.33653,1.31561,-0.2735938,-0.5949761,368.3647
0.4,0.007943282,25.53684,1.563778,-0.4859074,-0.7258996,367.6176
0.4,0.006309573,34.00221,1.819951,-0.7051029,-0.8610048,366.8476
0.4,0.005011872,42.51957,2.077687,-0.9256583,-0.9969045,366.0744
0.4,0.003981072,50.85411,2.329882,-1.141489,-1.129862,365.3192
0.4,0.003162278,58.80703,2.570524,-1.347443,-1.256715,364.5998
0.4,0.002511886,66.21304,2.794614,-1.539239,-1.374833,363.9311
0.4,0.001995262,72.94551,2.998321,-1.713594,-1.482201,363.3241
0.4,0.001584893,78.9493,3.179979,-1.869081,-1.577943,362.7836
0.4,0.001258925,84.20025,3.338857,-2.005072,-1.661677,362.3114
0.4,0.001,88.71417,3.475434,-2.121975,-1.733655,361.9059
0.5,100,20.195,0,0,0,367.7775
0.5,79.43282,20.195,0,0,0,367.7775
0.5,63.09573,20.195,0,0,0,367.7775
0.5,50.11872,20.195,0,0,0,367.7775
0.5,39.81072,20.195,0,0,0,367.7775
0.5,31.62278,20.195,0,0,0,367.7775
0.5,25.11886,20.195,0,0,0,367.7775
0.5,19.95262,20.195,0,0,0,367.7775
0.5,15.84893,20.195,0,0,0,367.7775
0.5,12.58925,20.195,0,0,0,367.7775
0.5,10,20.195,0,0,0,367.7775
0.5,7.943282,17.97184,0.00318324,0.04187228,0,367.9937
0.5,6.309573,12.89518,0.06524838,0.110391,0,368.5212
0.5,5.011872,8.339193,0.11908,0.1728061,0,368.9941
0.5,3.981072,4.314574,0.1644105,0.2290408,0,369.4108
0.5,3.162278,0.8045334,0.2014211,0.2793337,0,369.7731
0.5,2.511886,-2.228919,0.2304165,0.3242765,0,370.0846
0.5,1.995262,-4.833566,0.2521123,0.3644492,0,370.3503
0.5,1.584893,-7.060246,0.2674254,0.4003917,0,370.5756
0.5,1.258925,-8.963472,0.2770117,0.4328452,0,370.7662
0.5,1,-10.58877,0.2819201,0.4621806,0,370.9269
0.5,0.7943282,-11.97441,0.2832407,0.4886066,0,371.0623
0.5,0.6309573,-13.15981,0.2815642,0.5126016,0,371.1764
0.5,0.5011872,-14.16785,0.2780462,0.5340413,0,371.2722
0.5,0.3981072,-15.02467,0.273259,0.5531532,0,371.3525
0.5,0.3162278,-15.75024,0.267796,0.5700344,0,371.4197
0.5,0.2511886,-16.30609,0.2626653,0.5844191,-0.001823982,371.4691
0.5,0.1995262,-15.57355,0.2920265,0.5681857,-0.02517165,371.3965
0.5,0.1584893,-14.5465,0.3288849,0.5437803,-0.05091118,371.298
0.5,0.1258925,-13.23944,0.3730292,0.5116965,-0.07923873,371.1747
0.5,0.1,-11.60125,0.4262494,0.4706883,-0.1113364,371.0216
0.5,0.07943282,-9.559183,0.4909469,0.4189345,-0.1486643,370.8321
0.5,0.06309573,-7.081904,0.5682076,0.3556831,-0.1919584,370.6033
0.5,0.05011872,-4.074931,0.6610251,0.2785269,-0.2429229,370.3264
0.5,0.03981072,-0.5026171,0.770566,0.1865821,-0.3022796,369.9981
0.5,0.03162278,3.712002,0.8992432,0.07788214,-0.3713824,369.6117
0.5,0.02511886,6.730571,0.9922317,0,-0.4215783,369.335
0.5,0.01995262,6.743067,0.9939432,0,-0.4235989,369.3332
0.5,0.01584893,6.753014,0.9953054,0,-0.425207,369.3317
0.5,0.01258925,7.337225,1.013282,-0.01484722,-0.435322,369.2778
0.5,0.01,16.18835,1.2811,-0.2439679,-0.5766744,368.4696
0.5,0.007943282,25.36357,1.558717,-0.4815093,-0.723138,367.6334
0.5,0.006309573,34.64017,1.839397,-0.7216978,-0.8711741,366.7898
0.5,0.005011872,43.76607,2.115514,-0.9579999,-1.016774,365.9615
0.5,0.003981072,52.53291,2.380765,-1.185016,-1.156622,365.1673
0.5,0.003162278,60.72716,2.62869,-1.397212,-1.287322,364.4264
0.5,0.002511886,68.2148,2.855234,-1.591114,-1.406741,363.7506
0.5,0.001995262,74.91978,3.058098,-1.764752,-1.513671,363.1463
0.5,0.001584893,80.8049,3.236156,-1.91716,-1.607522,362.6167
0.5,0.001258925,85.8894,3.389991,-2.048836,-1.688602,362.1597
0.5,0.001,90.21033,3.520723,-2.160738,-1.757503,361.7717
0.6,100,20.195,0,0,0,367.7775
0.6,79.43282,20.195,0,0,0,367.7775
0.6,63.09573,20.195,0,0,0,367.7775
0.6,50.11872,20.195,0,0,0,367.7775
0.6,39.81072,20.195,0,0,0,367.7775
0.6,31.62278,20.195,0,0,0,367.7775
0.6,25.11886,20.195,0,0,0,367.7775
0.6,19.95262,20.195,0,0,0,367.7775
0.6,15.84893,20.195,0,0,0,367.7775
0.6,12.58925,20.195,0,0,0,367.7775
0.6,10,20.195,0,0,0,367.7775
0.6,7.943282,20.195,0,0,0,367.7775
0.6,6.309573,16.36118,0.01152217,0.06922514,0,368.1541
0.6,5.011872,10.9787,0.07515688,0.1429443,0,368.7123
0.6,3.981072,6.298108,0.1278775,0.2083438,0,369.1967
0.6,3.162278,2.271693,0.1703608,0.2660217,0,369.6121
0.6,2.511886,-1.166771,0.2033152,0.3169216,0,369.9652
0.6,1.995262,-4.087672,0.2278673,0.3618622,0,370.2632
0.6,1.584893,-6.559444,0.2453005,0.4015461,0,370.5135
0.6,1.258925,-8.651499,0.256507,0.4368886,0,370.7233
0.6,1,-10.4195,0.262788,0.4683341,0,370.8988
0.6,0.7943282,-11.9098,0.2654092,0.4961622,0,371.0451
0.6,0.6309573,-13.16596,0.2652279,0.5208006,0,371.167
0.6,0.5011872,-14.22631,0.2629056,0.5426712,0,371.2686
0.6,0.3981072,-15.10901,0.2597574,0.5614785,0,371.3524
0.6,0.3162278,-15.84925,0.2557781,0.5779125,0,371.4219
0.6,0.2511886,-16.46501,0.2515714,0.5920265,0,371.4792
0.6,0.1995262,-16.97044,0.2476601,0.6038382,0,371.526
0.6,0.1584893,-17.22022,0.2474165,0.6110077,-0.004015687,371.5468
0.6,0.1258925,-15.54495,0.3028267,0.5698051,-0.03910234,371.3889
0.6,0.1,-13.47217,0.369292,0.5178724,-0.07883036,371.1953
0.6,0.07943282,-10.93376,0.4490753,0.453528,-0.1246242,370.9598
0.6,0.06309573,-7.85611,0.5445636,0.3749335,-0.1779297,370.6755
0.6,0.05011872,-4.186633,0.6574695,0.280784,-0.2398027,370.3376
0.6,0.03981072,0.136217,0.7897571,0.16953,-0.3114001,369.9405
0.6,0.03162278,5.131741,0.9420865,0.0407091,-0.3931689,369.4825
0.6,0.02511886,6.718738,0.9920071,0,-0.4209442,369.3365
0.6,0.01995262,6.733664,0.9937675,0,-0.4230974,369.3344
0.6,0.01584893,6.745551,0.9951664,0,-0.4248095,369.3327
0.6,0.01258925,6.761062,0.9963494,-0.0001383337,-0.4261986,369.3308
0.6,0.01,14.73213,1.23727,-0.2063634,-0.5534624,368.6026
0.6,0.007943282,25.15008,1.55244,-0.4760694,-0.7197352,367.653
0.6,0.006309573,35.39767,1.862459,-0.7413887,-0.8832487,366.721
0.6,0.005011872,45.25083,2.16055,-0.9965129,-1.040441,365.8269
0.6,0.003981072,54.46523,2.439318,-1.235109,-1.187423,364.9925
0.6,0.003162278,62.89788,2.694437,-1.45347,-1.321923,364.2304
0.6,0.002511886,70.44358,2.922723,-1.648869,-1.442268,363.5497
0.6,0.001995262,77.08372,3.123614,-1.820822,-1.548164,362.9515
0.6,0.001584893,82.80611,3.296739,-1.969011,-1.639421,362.4368
0.6,0.001258925,87.67733,3.444113,-2.095159,-1.717101,361.9991
0.6,0.001,91.77887,3.568201,-2.201376,-1.782506,361.6309
0.7,100,20.195,0,0,0,367.7775
0.7,79.43282,20.195,0,0,0,367.7775
0.7,63.09573,20.195,0,0,0,367.7775
0.7,50.11872,20.195,0,0,0,367.7775
0.7,39.81072,20.195,0,0,0,367.7775
0.7,31.62278,20.195,0,0,0,367.7775
0.7,25.11886,20.195,0,0,0,367.7775
0.7,19.95262,20.195,0,0,0,367.7775
0.7,15.84893,20.195,0,0,0,367.7775
0.7,12.58925,20.195,0,0,0,367.7775
0.7,10,20.195,0,0,0,367.7775
0.7,7.943282,20.195,0,0,0,367.7775
0.7,6.309573,20.195,0,0,0,367.7775
0.7,5.011872,13.78963,0.02442493,0.1130994,0,368.4101
0.7,3.981072,8.351871,0.08545668,0.189186,0,368.9724
0.7,3.162278,3.741142,0.1337978,0.2553861,0,369.4477
0.7,2.511886,-0.1451753,0.1709955,0.3129399,0,369.8465
0.7,1.995262,-3.406094,0.1987642,0.3629346,0,370.1794
0.7,1.584893,-6.138866,0.2184069,0.4066265,0,370.4563
0.7,1.258925,-8.421106,0.2317405,0.4446338,0,370.6859
0.7,1,-10.32944,0.2398076,0.4779385,0,370.876
0.7,0.7943282,-11.91733,0.2442216,0.5067873,0,371.0329
0.7,0.6309573,-13.23781,0.2458772,0.5317743,0,371.1621
0.7,0.5011872,-14.33304,0.2456485,0.5532911,0,371.2684
0.7,0.3981072,-15.23851,0.2442294,0.5716881,0,371.3555
0.7,0.3162278,-15.98017,0.2423606,0.5871064,0,371.4265
0.7,0.2511886,-16.59212,0.2399805,0.6002426,0,371.4845
0.7,0.1995262,-17.08838,0.2377589,0.6110395,0,371.5314
0.7,0.1584893,-17.49156,0.2356604,0.6199565,0,371.5693
0.7,0.1258925,-17.82267,0.2335241,0.6274837,0,371.6002
0.7,0.1,-16.4566,0.2786458,0.5938911,-0.02856383,371.4714
0.7,0.07943282,-13.09002,0.3835582,0.5083625,-0.08811815,371.1593
0.7,0.06309573,-9.070542,0.5075993,0.4055841,-0.156879,370.7881
0.7,0.05011872,-4.358749,0.6520862,0.2846043,-0.2357167,370.3544
0.7,0.03981072,1.086983,0.8183832,0.1443985,-0.3254903,369.8542
0.7,0.03162278,6.684977,0.9895186,0,-0.4174419,369.3411
0.7,0.02511886,6.706864,0.9917855,0,-0.4203112,369.3381
0.7,0.01995262,6.724253,0.9935914,0,-0.4225953,369.3356
0.7,0.01584893,6.738082,0.9950273,0,-0.4244115,369.3336
0.7,0.01258925,6.749077,0.9961687,0,-0.4258554,369.3321
0.7,0.01,12.85252,1.180631,-0.157793,-0.5235019,368.7742
0.7,0.007943282,24.8788,1.544414,-0.4691329,-0.7154113,367.6778
0.7,0.006309573,36.34206,1.891176,-0.7659205,-0.8983025,366.6353
0.7,0.005011872,47.01152,2.213934,-1.042173,-1.068506,365.6675
0.7,0.003981072,56.72299,2.507717,-1.293632,-1.223412,364.7884
0.7,0.003162278,65.3672,2.769218,-1.517463,-1.361284,364.0076
0.7,0.002511886,72.93175,2.99806,-1.713343,-1.481929,363.3255
0.7,0.001995262,79.43642,3.19484,-1.881781,-1.585666,362.7399
0.7,0.001584893,84.96251,3.362017,-2.024881,-1.673794,362.243
